abbrev,desc
kgf/m³,quilograma(s)-força por metro cúbico
kg*m,quilogrâmetro(s)
kg*m/s,quilogrâmetro(s) por segundo
kg/cm²,quilograma(s) por centímetro quadrado
kg/dm³,quilograma(s) por decímetro cúbico
kg/m²,quilograma(s) por metro quadrado
kg/m³,quilograma(s) por metro cúbico
kgf,quilograma(s)-força
kgf/cm²,quilograma(s)-força por centímetro quadrado
kgf/m³,quilograma(s)-força por metro cúbico
kgfm,quilogrâmetro(s)
kgfm/s,quilogrâmetro(s) por segundo
kgm,quilogrâmetro(s)
kgm/s,quilogrâmetro(s) por segundo
kj,quilojoule(s)
kJ,quilojoule(s)
kJ,quilojoule(s) internacional
kl,quilolitro(s)
km,quilômetro(s)
km/h,quilômetro(s) por hora
km²,quilômetro(s) quadrado(s)
km³,quilômetro(s) cúbico(s)
Kr,criptônio
kV,quilovolt(s)
kVA,"quilovolt(s)-ampere, quilovolt(s)-ampère"
kw,quilowatt(s)
kW,quilowatt(s)
kW,quilowatt(s) internacional
kWh,quilowatt(s)-hora
kwh,quilowatt(s)-hora
kWh,quilowatt(s)-hora internacional
l,"linea, linha"
l,litro(s)
l.,lançado (comercialmente)
L.,largo (toponimicamente)
l.,letra(s) (comercialmente)
L.,"liber, livro"
l.,linha(s)
l.,livro
l.,loja
L.,lote
l.c.,"loco citato, no lugar citado"
l.c.,"locus citatus, lugar citado"
L.c.,lua cheia
L.da,licenciada
L.da,limitada
L.do,licenciado
L.L.B.,"Legum Baccalaureus, bacharel de leis, bacharel em leis"
L.L.D.,"Legum Doctor, doutor de leis, doutor em leis"
L.n.,lua nova
l.º,livro
L.O.L.,"Loughing Out Loud, rir às gargalhadas, rindo muito alto"
L.P.,long-playing
L.Q.,"lege, quaeso, lê, por favor"
La,lantânio
lab.,laboratório
labor.,laborterapia
laborat.,laboratório
labort.,laborterapia
lact.,lacticínios
lâm.,lâmina (prancha)
lanç.,lançamento
lanc.,lanceiro(s) (do exército)
lap.,lapão
lap.,lapidaria
lap.,lapidário
lapid.,lapidário
larg.,largura
lat. bárb.,latim bárbaro
lat. cien.,latim científico
lat. ecl.,latim eclesiástico
lat. hip.,latim hipotético
lat. hipotét.,latim hipotético
lat. ing.,latinização inglesa
lat.,latim
lat.,latinismo
lat.,latino
lat.,latitude
lat. mediev.,latim medieval
lat. tard.,latim tardio
lat. vulg.,latim vulgar
lat. vulgar,latim vulgar
latit.,latitude
latoar.,latoaria
lb.,libra (moeda) e libra-peso
L.da,Limitada
Lda.,Limitada
leg. fin.,legislação financeira
leg.,legislação
leg.,legislativo
lég.,légua
leg. soc.,legislação social
legisl.,legislação
légs.,léguas
leit.,leitura
let.,"letão, leto, letonês, letônio"
lex.,lexicografia
LGBT,"Lésbicas, Gays, Bissexuais, Travestis e Transexuais"
Li,lítio
lib.,libanês
lib.,"liber, livro"
Lic.do,licenciado
lig.,ligação
lim.,limnologia
lin.,linimento
líng.,Língua
ling.,linguagem
ling.,linguística
lingüíst.,linguística
líq.,líquido
lit. cat.,liturgia católica
lit.,literal
lit.,literário
lit.,literatura
lit.,"litteraliter, literalmente"
lit.,"lituano, lituânio"
lit.,liturgia
liter.,literalidade
liter.,literalmente
liter.,literatura
literal.,literalidade
literat.,literatura
litog.,litografia
litogr.,litografia
litol.,litologia
Litt.D.,"Litterarum Doctor, doutor de letras, doutor em letras"
lituan.,"lituano, lituânio"
litur.,liturgia
liturg.,liturgia
liturgia catól.,liturgia católica
liv.,livro
Livr.,livraria
livr.,livraria
livr.,livro
ll.,"lineae, linhas"
lm,lúmen (lúmens ou lúmenes)
lm/m²,lúmen por metro quadrado
loc. adj.,locução adjetiva
loc. adv. lat.,locução adverbial latina
loc. adv.,locução adverbial
loc. adv. mod.,locução adverbial modal
loc. adv. temp.,locução adverbial temporal
loc. cit.,"loco citato, no lugar citado"
loc. cit.,"locus citatus, lugar citado"
loc. conj.,locução conjuntiva
loc. fam.,locução familiar
loc. int.,locução interjetiva
loc.,Local
loc.,localidade
loc.,locativo
loc.,"locução, locuções"
loc. prep.,locução prepositiva
loc. pron. pess.,locução pronominal pessoal
loc.s.,locução substantiva
loc.v.,locução verbal
log.,logaritmo
lóg.,lógica
logar.,logaritmo
logíst.,logística
lomb.,lombardo
long.,longitude
loq.,"loquitur, fala"
LP,long-play
lr.,lira(s) (moeda)
Lt.da,limitada
Ltd.,limitada
Ltda.,limitada
ltda.,limitada
Lu,lutécio
ludol.,ludologia
lug.,lugar
lund.,lundês
lunf.,lunfardo
lus.,"lusitano, luso"
lusit.,lusitanismo
luso-afr.,luso-africanismo
luso-asit.,luso-asiaticismo
lut.,luta
luv.,Luvaria
µ,"mícron (mícrons, mícrones)"
µµ,"micromícron (micromícrons, micromícrones)"
µA,"microampere(s), microampère(s)"
µrd,microrradiano(s)
µv,microvolt(s)
µ,microhm(s)
m d’água,metro(s) de coluna d’água
m,martelo(s) (medida)
m,metro(s)
M,milha(s) marítima(s) internacional (internacionais)
m,"milimícron (milícrons, milimícrones)"
m,minuto(s) (de tempo)
M,molécula
m.,mais
m.,mão(s) (de papel)
m.,masculino
M.,massa
M.,meridiano
m.,"mês, meses"
m.,mile(s)
M.,misture
m.,moio(s)
M.,"monsieur, senhor"
M.,município
m.,us.  —  mais usado
m.ª,mesma
M.ª,mestra
m.ª,minha
m.a.-al.,médio alto-alemão
M.al,Marechal
m.alt.-al.,médio altoalemão
M.B.,"Medicinae Baccalaureus, bacharel de medicina, bacharel em medicina"
m.ço,março
M.D.,"Medicinae Doctor, doutor de medicina, doutor em medicina"
M.D.,Muito Digno
m.d.c.,máximo divisor comum
M.e,madre
M.e,mestre
M.es,marquês
M.esa,marquesa
m.f.,"mezzo forte, meio forte"
m.kg,metro(s)-quilograma(s)-força
m.kg*,metro(s)-quilograma(s)-força
m.kgf,metro(s)-quilograma(s)-força
M.lle,"mademoiselle, senhorita"
M.M.,"""Magister Musicae"", ""Master of Music"" (lit. Mestre em Música, ou Mestre de Música – título acadêmico comum a instituições de ensino de língua inglesa; no Brasil, equivale a Sc.M., embora a especificação ""Música"" seja omitida)"
M.M.A.,"""Magister Musicae Artium"", ""Master of Musical Arts"" (lit. Mestre em Artes Musicais, ou Mestre de Artes Musicais – título acadêmico, sem equivalente direto no Brasil, porém comum a instituições de ensino de língua inglesa, destinado especificamente a pessoas que realizaram cursos de Mestrado em atividades práticas, viz. performance ou composição)"
m.m.c.,mínimo múltiplo comum
M.me,"madame, senhora"
M.mo,Meritíssimo
m.º,maio
m.º,mesmo
m.or,morador
m.-q.-perf. ind.,mais-que-perfeito do indicativo
m.q.perf.,mais-que-perfeito
m.-q.-perf.,mais-que-perfeito
M.T.S.,"metro, tonelada, segundo"
m.ta,muita
m.to,muito
m/,"meus, minhas (comercialmente)"
m/a,meu aceite (comercialmente)
m/c,minha carta
m/c,minha conta
m/d,meses de data (comercialmente)
m/l,minha letra (comercialmente)
m/min,metro(s) por minuto
m/o,minha ordem (comercialmente)
m/p,meses de prazo (comercialmente)
m/s,metro(s) por segundo
m/s,metro(s) por segundo
m/s,"meu(s), minha(s) (comercialmente)"
m/s²,metro(s) por segundo ao quadrado
m²,metro(s) quadrado(s)
m³,metro(s) cúbico(s)
mA,"miliampere(s), miliampère(s)"
Ma,miriare(s)
Mª,Maria
maç.,maçonaria
maçon.,maçonaria
mad.,madeirense
madeir.,madeirense
mag.,magia
magn.,magnetismo
magnet.,magnetismo
magnit.,magnitude
maio,maio (palavras de 4 letras não devem receber abreviaturas de 3 letras)
maiúsc.,maiúscula
Maj.,major
maj.,major
Maj.-Brig.,Major-Brigadeiro
maj.-brig.,major-brigadeiro
mal.,malabar
mal.,malabárico
mal.,malaio
Mal.,marechal
mal.,marechal
malab.,malabar
malab.,malabárico
malac.,malacologia
malacol.,malacologia
malai.,malaiala
malg.,malgaxe
malh.,malharia
MMII,membros inferiores
MMSS,membros superiores
mamal.,mamalogia
man.,manípulo
manuf.,manufatura
maomet.,maometano
map.,mapuche
máq. ag.,máquina agrícola
máq.,máquina
maq.,maquinista
maquinof.,maquinofatura
mar. ant.,marinha antiga
mar.,marata
mar.,março
mar.,marinha
mar. mil.,marinha militar
mar.g.,marinha de guerra
maranh.,maranhense
marc.,marcenaria
march.,marchantaria
marchet.,marcheteria
marg.,marginal
marin.,marinharia
marinh.,marinharia
marn.,marnotagem
marn.,marnoto
marr.,marroquino
marroq.,marroquino
martin.,martinicano
marx.,marxismo
masc.,masculino
mat. fin.,matemática financeira
mat.,matemática
mat.,matéria
mat. pl.,matéria plástica
mat. sup.,matemática superior
matad.,matadouro
matem.,matemática
mater.,materiais
material.,materialismo
matogros.,mato-grossense
mato-gros.,mato-grossense
máx.,máximo
Mb,megabária(s)
Mb,megabit(s)
MB,megabyte(s)
Mc,megaciclo(s)
mcal,milicaloria(s)
mct.,macuta(s)
Md/cm²,megadina(s) por centímetro(s) quadrado(s)
md/dm,megadina(s) por decímetro(s)
Mdyn,megadina(s)
mec.,mecânica (ciência)
mecân.,mecânica (maquinismo)
mecan.,mecanografia
mecanogr.,mecanografia
med. ant.,medicina antiga
med. leg.,medicina legal
med.,medicina
med.,"medio, meados, metade"
méd.,médico
med. nucl.,medicina nuclear
med. san.,medicina sanitária
med. trab.,medicina do trabalho
méd. vet.,médico veterinário
mediev.,medieval
mediev.,medievalismo
medv.,medieval
mem.,memento
mem.,memória
mem.,memorial
memo.,"memorandum, memorando"
memor.,"memorandum, memorando"
mens.,mensal
mer.,meridiano
mer.,meridional
merc.,mercado
merc.,mercúrio
mercad.,mercadologia
merid.,meridiano
merid.,meridional
met.,metalurgia
met.,metátese
met.,meteorologia
metáf.,metáfora
metaf.,metaforicamente
metaf.,metafórico
metafis.,metafísica
metafór.,metafórico
metal.,metalurgia
metalog.,metalografia
metalur.,metalurgia
metát.,metátese
meteor.,meteorologia
meton.,metonímico
métr.,métrica
metr.,metrificação
metrif.,metrificação
metrol.,metrologia
mex.,mexicano
mexic.,mexicano
Mg,magnésio
mg,miligrama(s)
mgf,miligrama(s)-força(s)
mgr,milígrado(s)
mH,milihenry(s)
mi,milha(s) marítima(s) internacional(is)
mi.,minhoto
micol.,micologia
microbiol.,microbiologia
microfot.,microfotografia
microg.,micrografia
microl.,micrologia
microm.,micrometria
microsc.,microscopia
microscóp.,microscópico
mil,milha
mil.,milênio
mil.,militar
min,minuto(s) (de tempo)
min.,mineral
min.,mineralogia
mín.,mínimo
min.,ministro
miner.,mineração
miner.,mineralogia
ming.,minguante
minh.,minhoto (termo)
minúsc.,minúsculo
miss.,"missionária, missionário"
mist.,misticismo
míst.,místico
mit. esc.,mitologia escandinava
mit. ger.,mitologia germânica
mit.,mitologia
mit.,mitológico
mit.,mitônimo(s)
mit. rom.,mitologia romana
mit. sem.,mitologia semítica
mit.f.,mitônimo feminino
mit.f.pl.,mitônimo feminino plural
mit.gr.,mitologia grega
mit.m.,mitônimo masculino
mit.m.f.,mitônimo masculino e feminino
mit.m.pl.,mitônimo masculino plural
mitol.,mitologia
mitôn. fem.,mitônimo feminino
mitôn. masc.,mitônimo masculino
mitôn.,mitônimo
mk.,marco(s) (moeda)
ml,mililitro(s)
Ml,mirialitro(s)
Mlle,"mademoiselle, senhorita"
mmHG,milímetro(s) de coluna de mercúrio
mm,milímetro(s)
Mm,miriâmetro(s)
MM.,meritíssimo
MM.,"messieurs, senhores"
MM.,municípios
mm²,milímetro(s) quadrado(s)
mm³,milímetro(s) cúbico(s)
Mme,"madame, senhora"
mme,"madame, senhora"
min.,ministro
Mn,manganês
Mo,molibdênio
moag.,moagem
mob.,mobília
mob.,mobiliária
mob.,mobiliário
moçamb.,moçambicanismo
mod.,"moderato, moderado, moderadamente"
mod.,modernamente
mod.,modernismo
mod.,moderno
mod.,modismo
mod.,modo
moed.,moedas
mol,"molécula, moléculagrama"
mon.,mongol
mon.,monografia
monog.,monografia
monogr.,monografia
Mons.,monsenhor
mons.,monsenhor
mont.,montaria
montanh.,montanhismo
mor.,moral
mor.,moralismo
moralid.,moralidade
morf.,morfema
morf.,morfologia
morfol.,morfologia
morfol.,veg.  —  morfologia vegetal
moto.,motociclismo
mov.,movimento
Mr.,"mister, senhor"
Mrs.,"mistress, senhora"
MS,"manuscriptus, manuscrito, códice, autógrafo, apógrafo"
MS.,"manuscriptus, manuscrito, códice, autógrafo, apógrafo"
ms.,"manuscriptus, manuscrito, códice, autógrafo, apógrafo"
Ms.,"manuscriptus, manuscrito, códice, autógrafo, apógrafo"
mss,"manuscripti, manuscritos, códices, autógrafos, apógrafos"
MSS,"manuscripti, manuscritos, códices, autógrafos, apógrafos"
mth,militermia
mun.,municipal
mun.,município
mús. concr.,música concreta
mus.,museologia
mus.,museu
mús.,música
Mus.B.,"Musicae Baccalaureus, bacharel de música, bacharel em música"
Mus.D.,"Musicae Doctor, doutor de música, doutor em música"
mus.h.,"music hall, teatro de variedades"
museol.,museologia
Mv,mendelévio
mV,milivolt(s)
M,megaohm(s)
N,newton(s)
N,nitrogênio
N,Norte
N.,Norte
N. da D.,nota da direção
N. da E.,nota da editora
N. da R.,nota da redação
N. do A.,nota do autor
N. do D.,nota do diretor
N. do E.,nota do editor
N. do T.,nota do tradutor
n.,neutro
n.,nome
n.,número
n.b.,"nota bene, nota bem"
N.B.,"nota bene, nota bem"
N.E.,Nordeste
N.F.,
N.N.,"abreviatura com que se oculta um nome em programas, cartazes, subscrições, etc."
N.N.E.,Nor-Nordeste
N.N.O.,Nor-Noroeste
N.N.W.,Nor-Noroeste
n.º,número (sempre minúscula)
NO,Noroeste
N.Obs.,"nihil obstat, nada obsta"
n.p.,nome próprio
N.P.,nosso padre
n.p.loc.,nome próprio locativo
n.p.pers.,nome próprio personativo
n.pr.,nome próprio
N.R.P.,nosso reverendo padre
N.S.,Nosso Senhor
N.S.P.,Nosso Santo Padre
N.Sr.a,Nossa Senhora
N.SS.P.,Nosso Santíssimo Padre
N.T.,nota do tradutor
N.T.,Novo Testamento
N.W.,Noroeste
n/,"nosso(s), nossa(s) (comercialmente)"
n/c,nossa carta (comercialmente)
n/c,nossa casa (comercialmente)
n/c,nossa conta (comercialmente)
n/ch,nosso cheque
n/l,nossa(s) letra(s) (comercialmente)
n/o,nossa ordem (comercialmente)
n/s,nosso saque (comercialmente)
Na,"natrium, sódio"
nac.,nacional
nac.,nacionalismo
nap.,napolitano
NASA,"National Aero Space Agency, Agência nacional arero-espacial dos Estados Unidos."
nat.,natação
nat.,naturalismo
natur.,naturalismo
náu.,náuatle
náua.,náuatle
náut.,náutica
náut.,náutico
nav.,fluv.  —  navegação fluvial
nav.,mar.  —  navegação marítima
nav.,marít.  —  navegação marítima
nav.,navegação
nav.fl.,navegação fluvial
naz.,nazismo
Nb,nióbio
NCr$,cruzeiro novo
Nd,neodímio
Ne,neônio
NE,Nordeste
neerl.,neerlandês
neg.,negativo
neo-ár.,neo-árico
neoguin.,"neoguinéu, neoguineense"
neol.,neologia
neol.,neologismo
neolog.,neologismo
neozel.,neozelandês
nep.,nepalês
neur.,neurologia
neutr.,neutralmente
NF,Nota Fiscal
Ni,níquel
nicar.,nicaragüense
nicarag.,nicaragüense
nig.,nigeriano
niger.,nigeriano
NNE,Nor-Nordeste
NNO,Nor-Noroeste
NNW,Nor-Noroeste
No,nobélio
NO,Noroeste
nob.,"em bom sentido, nobilitativamente"
nobil.,nobiliarquia
nom.,nominal
nom.,nominativo
nom.-acus.,nominativoacusativo
nome pr.,nome próprio
non seq.,"non sequitur, não se segue"
nor.,norueguês
nórd.,nórdico
norm.,normalização
norm.,normando
normat.,normativo
nort.-am.,norte-americano
norueg.,norueguês
notic.,noticiário
nov.,novembro
nov.o,novembro
Np,netúnio
num.,card.  —  numeral cardinal
num.,distr.  —  numeral distributivo
num.,frac.  —  numeral fracionário
num.,fracc.  —  numeral fraccionário
num.,mult.  —  numeral multiplicativo
num.,numeral
núm.,número
num.,ord.  —  numeral ordinal
numis.,numismática
numism.,numismática
nutr.,nutrição
nutr.,nutrologia
NW,Noroeste
OAB,Ordem dos Advogados do Brasil
o m.q.,o mesmo que
O,Oeste
O.,Oeste
O,oxigênio
O.D.C.,"oferece(m), dedica(m), consagra(m)"
o.d.c.,"oferece(m), dedica(m), consagra(m)"
O.K.,"(Presumivelmente ""Oll Korrect"" ou 0K, ""Zero Killed""), tudo correto, tudo bem"
O.N.O.,Oés-Noroeste
o/,ordem (comercialmente)
ob. cit.,obra citada (preferir op. cit.)
ob.,"obiit, morreu"
ob.,oboé
Ob.,oboé
ob.,obra(s)
OBE,Order of the British Empire ou Ordem do Império Britânico
OBE,Out-of-Body Experience ou Experiência fora-do-corpo
OOBE,Out-of-Body Experience ou Experiência fora-do-corpo
obed.,obediente
obg.mo,obrigadíssimo
obr.,púb.  —  obras públicas
Obr.,Púb.  —  obras públicas
obr.mo,obrigadíssimo
obr.o,obrigado
obs.,"observa, observe"
obs.,observação
obsol.,obsoleto
obst.,obstetrícia
obstet.,obstetrícia
oC,"grau centesimal, centígrado ou Celsius"
oc.,ocidental
ocean. biol.,oceanografia biológica
ocean.,oceanografia
oceanogr.,oceanografia
ocid.,ocidental
ocid.,ocidente
ocul.,oculista
ocul.,ocultismo
ocult.,ocultismo
odont.,odontologia
odontol.,odontologia
Of.,oferece(m)
of.,oferece(m)
of.,oficial
of.,ofício
ofid.,ofidismo
oft.,oftalmologia
oftalm.,oftalmologia
oftalmol.,oftalmologia
oK,grau(s) Kelvin
olig.,oligarquia
onç.,onça(s) (peso) (ver oz.)
oneol.,oneologia
ONO,Oés-Nordeste
onom.,onomástica
onom.,onomástico
onom.,onomatopéia
onom.,onomatopéico
onomást.,onomástica
onomat.,onomatopéia
onomatop.,onomatopéico
op. cit.,"opere citato, na obra citada"
op. cit.,"opus citatum, obra citada"
op. laud.,"opus laudatum, obra citada"
op.,"opus, obra"
opp.,"opera, obras"
opp. citt.,"opera citata, obras citadas"
ópt.,óptica
ópt.,óptimo
optat.,optativo
or. gr.,origem grega
or. lat.,origem latina
or.,oriental
or.,origem
orat.,oratória
ord.,ordem
ord.,ordinal
ord.,ordinariamente
ordin.,ordinal
ordin.,ordinário
org.,organismo
org.,organização
org. pol.,organização política
organiz.,organização
orig.,origem
orig.,original
orig.,originário
origin.,originalmente
origin.,originário
orign.,originariamente
orn.,ornitologia
ornit.,ornitologia
ornitol.,ornitologia
orog.,orografia
orogr.,orografia
orôn.,orônimo
ort.,ortografia
ortogr.,ortografia
ortográf.,ortográfico
ortop.,ortopedia
Os,ósmio
ostr.,ostreicultura
otorr.,otorrinolaringologia
otorrin.,otorrinolaringologia
otorrino.,otorrinolaringologia
our.,ourivesaria
ouriv.,ourivesaria
out.,outubro
out.o,outubro
oz.,"ounce(s), onça(s) (peso)"
p,palmo(s) (medida)
p,pé(s) (medida)
p,pedra(s) (peso de linho)
P,"phosphorus, fósforo"
p. anal.,por analogia
p. arom.,planta aromática
p. bien.,planta bienal
p. comp.,por comparação
p. exag.,por exagero
p. ext. ou abrev.,por extenso ou abreviadamente
p. fl.,planta florestal
p. forrag.,planta forraginosa
p. frutíf.,planta frutífera
p. herb.,planta herbácea
p. hist.,pré-história
p. iron.,por ironia
p. med.,planta medicinal
p. meton.,por metonímia
p. opos.,por oposição
p. orn.,planta ornamental
P.,Padre
p.,pagina
p.,página
p.,penny (moeda)
p.,piastra(s)
p.,planta (vegetal)
p.,por (comercialmente)
p.,"pouco, paulo (latim)"
P.,praça (toponimicamente)
p.,pronominal
p.,próprio
p.,próximo (comercialmente)
p. têxt.,planta têxtil
p. us.,pouco usado(s)
p. ven.,planta venenosa
p.a,para
p.ae.,"partes aequales, partes iguais"
p.al.,por alusão
P.B.,peso bruto
p.c.,pacote(s)
P.C.,computador
P.C.C.,por cópia conforme
P.D.,pede deferimento
P.D.,pede deferimento
p.e.,"partes aequales, partes iguais"
p.e.,peso específico
P.E.F.,por especial favor
P.E.O.,por especial obséquio
p.ex.,por exemplo
p.ext.,por extensão
p.f.,"più forte, mais forte (abrev. incomum, mais comum più f, sempre em itálico e sem ponto)"
p.f.,ponto de fusão
P.F.,por favor
p.f.,prato feito
p.f.,próximo futuro (referido a mês)
p.f.v.,"por favor, volte"
P.H.,pêndulo horizontal
p.i.,partes iguais
P.J.,pede justiça
P.L.,peso líquido
P.M.,Padre Mestre
p.m.,peso molecular
P.M.,Polícia Militar
P.M.,por mão
p.m.,"post meridiem, depois do meio-dia"
p.m.,"post mortem, depois da morte"
P.M.,Prefeitura Municipal
P.M.E.,por mercê especial
P.M.O.,por muito obséquio
p.m.o.m.,pouco mais ou menos
P.M.P.,por mão própria
P.N.,"Padre-Nosso, Pai-Nosso"
P.N.A.M.,Padre-Nosso e Ave-Maria
P.P.,para protestar
p.p.,por procuração
p.p.,"post paulo, pouco após (antes de datas ou períodos explícitos)"
p.p.,"próximo passado (após trechos explicativos, com ou sem datas ou períodos explícitos)"
P.P.S.,"post post scriptum, depois do que foi escrito depois"
p.per.,planta perene
P.R.,"populus romanus, o povo romano"
P.R.,Príncipe Real
P.R.J.,pede recebimento e justiça
P.S.,"post scriptum, pósescrito"
p.s.,puro-sangue
P.V.,pêndulo vertical
p/,para
p/,por
p/c,por conta
Pa,protoactínio
pa,per annum (por ano)
pa.,peso atômico
pa.g.,passo(s) geométrico(s)
pag.,paganismo
pag.,pagina
pág.,página
pagg.,paginae
págg.,páginas
págs.,páginas
pal.,palavra(s)
paleob.,paleobotânica
paleog.,paleografia
paleogr.,paleografia
paleont.,paleontologia
paleontol.,paleontologia
paleoz.,paleozoologia
pals.,palavras
pan.,panamenho
pan.,panificação
pan.-amer.,pan-americanismo
panam.,panamenho
papel.,papelaria
paq.,"paquistanês, paquistano, paquistanense"
par.,paraense
par.,parônimo
par.,parte
Pár.o,pároco
paraens.,paraense
parag.,paraguaio
paraib.,paraibano
paral.,paralela(s)
paral.,paralelo(s)
paran.,paranaense
paras.,parasitologia
parassint.,parassintético
parl.,parlamentar
parn.,parnasianismo
parnas.,parnasianismo
parôn.,parônimo
part. apass.,partícula apassivadora
part. aux.,partícula auxiliar
part. expl.,partícula expletiva
part.,"participa, participe"
part.,particípio
part.,partícula
part. pass.,particípio passado
part. pres.,particípio presente
partic.,particípio
partic.,particularmente
pass.,passado
pass.,"passim, aqui e ali, em diversos lugares"
pass.,passivo
passm.,passamanaria
passr.,passaricultura
passt.,passatempos
past.,pastelaria
pat. an.,patologia animal
patol.,patologia
pátr.,pátrio
patr.,patronímico
patr.f.,patronímico feminimo
patr.f.pl.,patronímico feminino plural
patr.m.,patronímico masculino
patr.m.pl.,patronímico masculino plural
patron.,patronímico
patrôn.,patrônimo
paul.,paulista
paulist.,paulistano
Pb,"plumbum, chumbo"
PC,"personal computer, computador pessoal"
pç.,peça(s)
pça.,peça
Pd,paládio
pdl.,poundal (medida)
Pe.,Padre
pec.,"pecuária, criação de animais"
ped.,pediatria
ped.,pedologia
pedag.,pedagogia
pediat.,pediatria
pedol.,pedologia
pedr.,pedreiras
pej.,"em mau sentido, pejorativamente"
pej.,pejorativo
pel.,"couros, pelaria, curtimento"
pent.,penteados
peq.,pequeno
per.,persa
pér.,pérsico
per.,peruano
perf. ind.,perfeito do indicativo
perf.,perfeito
perf.,perfuração
perfum.,perfumaria
períf.,perífrase
perífr.,perífrase
pern.,pernambucano
pernamb.,pernambucano
pers.,persa
pérs.,pérsico
pers.,personativo
perspect.,perspectiva
perspectiv.,perspectivismo
peruv.,peruviano
pesc.,pescaria
pesq.,pesquisa(s)
pess.,pessoa(s)
pess.,pessoal
pet.,petrografia
petr.,indústria do petróleo
petr.,petrografia
petrog.,petrografia
petrogr.,petrografia
petrol.,petrologia
petroq.,petroquímica
PF,prato feito
pf.,pfennig (moeda)
pg.,pago
pg.,pagou
pgto.,pagamento
Ph.B.,"Philosophiae Baccalaureus, bacharel de filosofia, bacharel em filosofia"
Ph.D.,"Philosophiae Doctor, doutor de filosofia, doutor em filosofia (em Artes, é um título aplicado a acadêmicos com especializações teórica ou histórica, em oposição a especializações práticas – e.g. em Música, Ph.D. é aplicado a Musicólogos teóricos ou históricos, em oposição a Performers ou Compositores, que recebem o título D.M.A.)"
Piauí.,piauiense
piauien.,piauiense
picar.,picaria
píl.,pílula(s)
pint.,pintura
pinx.,"pinxit, pintou"
pinx.t,"pinxit, pintou"
pirot.,pirotecnia
pirot.,pirotécnica
pirotec.,pirotecnia
pirotéc.,pirotécnica
pisc.,piscicultura
piscic.,piscicultura
pizz.,"pizzicato, beliscado"
pk,peck(s) (medida)
pl.,plural
pl. reg.,plural regular
planej.,planejamento
plat.,platino
pleb.,Plebeísmo
PM,Polícia Militar
Pm,"promethium, promécio"
pm.,preamar
pm.,preia-mar
pneu.,pneumologia
Po,polônio
poes.,poesia
poét.,poética
poét.,poético
pol.,polaco
pol.,polegada(s) (medidas)
pol.,polonês
políc.,polícia
polin.,polinésio
polít.,política
polít.,político
pop.,população
pop.,"popular, populares"
pop.,popularmente
pop.,termo popular
popul.,população
por anal.,por analogia
por anton.,por antonomásia
por catacr.,por catacrese
por disfem.,por disfemismo
por espec.,por especialização
por ext.,por extensão
por hipál.,por hipálage
por hipérb.,por hipérbole
por limit.,por limitação
por metáf.,por metáfora
por meton.,por metonímia
por restr.,por restrição
por sinéd.,por sinédoque
port.,português
port.,portuguesismo
porto-riq.,porto-riquenho
posit.,positivismo
poss.,possessivo
possess.,possessivo
pot.,"potio, poção"
pot.,potologia
potam.,potamônimo
pov.,povoação
pov.,povoado
pp.,páginas
pp.,"pianissimo, suavissimamente"
pp.,precipitado
pq,porque
Pr.,Pastor
Pr,praseodímio
pr.,pronominal
pr.,próprio
prác.,prácrito
prát.,prático
prec.,precedente
preced.,precedente
precis.,precisamente
pred.,predicativo
predic.,predicativo
Pref.,prefeito
pref.,prefeito
Pref.,prefeitura
pref.,prefeitura
pref.,prefixo
pré-hist.,pré-história
prep.,preposição
prep.,prepositivo
prepos.,prepositivo
pres. conj.,presente do conjuntivo
pres. ind.,presente do indicativo
pres.,presente
Pres.,presidente
pres.,presidente
pres. subj.,presente do subjuntivo
presb.º,presbítero
presc.,prescrição
presid.,presidência
Presid.,Presidência
presid.,presidente
Presid.,presidente
prest.,prestidigitação
pret.,pretérito
prev.,previdência
prev. soc.,previdência social
prim.,primitivamente
prim.,primitivo
primit.,primitivo
princ.,principal
princip.,principado
priv.,"privativo, em caráter privado"
pro temp.,"pro tempore, para o tempo em que for oportuno"
probl.,problema(s)
problem.,problemático
proc.,dados processamento de dados
proc.,processo
proc.,processualística
proc.,procuração
proc.,procurador
prod.,produção
Prof.,professor
prof.,professor
Prof.ª,professora
prof.ª,professora
Prof.as,professoras
prof.as,professoras
profis.,profissão
profiss.,profissão
profission.,profissionalismo
Profs.,professores
profs.,professores
prom. vend.,promoção de vendas
pron. dem.,pronome demonstrativo
pron. ind.,pronome indefinido
pron. int.,pronome interrogativo
pron. interr.,pronome interrogativo
pron. pess. compl.,pronome pessoal complemento
pron. pess.,pronome pessoal
pron. pess. suj.,pronome pessoal sujeito
pron. poss.,pronome possessivo
pron.,pronome
pron.,pronominal
pron.,pronominalmente
pron. refl.,pronome reflexivo
pron. reflex.,pronome reflexivo
pron. rel.,pronome relativo
pronon.,pronominal
pronún.,pronúncia
propag.,propaganda
propos.,proposição
propr.,propriamente
pros.,prosódia
pros.,prosônimo
pros.f.,prosônimo feminino
pros.m.,prosônimo masculino
prosc.,proscênio
prosôn.,prosônimo
prost.,prostético
prostét.,prostético
prót.,prótese
prot.,protético
prot.,protocolo
protest.,protestante
protest.,protestantismo
protét.,protético
protoc.,protocolo
protoz.,protozoários
prov. port.,provincianismo português
prov.,provedor
prov.,provençal
prov.,proverbial
prov.,proverbialmente
prov.,provérbio
prov.,província(s)
